Tags,Article Content,Date posted,Author
PM Modi inaugurates 9.02-km Atal Tunnel in Himachal Pradesh,"Prime Minister Narendra Modi on Saturday inaugurated the Atal Tunnel in Himachal Pradesh, which will connect Solang Valley near Manali to Sissu in Lahaul and Spiti district. The 9.02-km tunnel is the longest highway tunnel in the world above the height of 3,000 metres. It will shorten the distance between Solang Valley and Sissu by around 46 km.",03 Oct,Ankush Verma
Sayani asks SRK to 'say something for Dalits' after his Gandhi Jayanti tweet,"Commenting on Shah Rukh Khan's tweet on Gandhi Jayanti, actress Sayani Gupta wrote, ""Say something. The Right thing."" ""Gandhi also taught us to speak up for the truth, the downtrodden, the exploited, for our Dalit brothers and sisters. Don't just shut your ears and eyes and mouths,"" she further wrote. Her tweet comes amid protests over the Hathras incident.",03 Oct,Ankush Verma
Chrissy Teigen's mother seen kissing late grandson in video; shares pics,"Model Chrissy Teigen's mother Vilailuck has shared a video of herself crying over the loss of her grandson Jack, before giving the baby a kiss. Vilailuck was also seen cradling her late grandson in the pictures that she shared on Instagram. Chrissy announced on Wednesday that she suffered a miscarriage about halfway through her pregnancy after hospitalisation for excessive bleeding.",03 Oct,Ankush Verma
Twitter says tweets wishing for Trump's death violate policy,"Twitter has said that tweets wishing for Donald Trump's death after the US President was diagnosed with COVID-19 violate its policies and could result in suspension. The social media platform confirmed that doing so violates Twitter's 'Abusive Behavior policy'. ""[Such] tweets are not allowed and will need to be removed,"" the company added.",03 Oct,Ankush Verma
"I have been placed under house arrest, says UP Congress Chief","Amid protests in the country against the Hathras rape case, UP Congress Chief Ajay Kumar Lallu on Saturday said, ""I have been placed under house arrest."" Lallu added, ""What is the state government trying to hide? Whom does it want to save? Today, women in Uttar Pradesh are unsafe. There is lawlessness in the state.""",03 Oct,Ankush Verma
No power can stop me from meeting Hathras victim's family: Rahul,"Ahead of his visit to Hathras to meet the family of the 19-year-old victim who passed away a few days ago, Congress' Rahul Gandhi tweeted, ""There's no power in this world that can stop me from meeting this grieving family."" Earlier, he'd said: ""This behaviour of the UP police towards the deceased and her family is not acceptable to me.""",03 Oct,Ankush Verma
NASA launches new ₹170 crore titanium space toilet to space station,"US space agency NASA has sent a new ₹170 crore titanium toilet better suited for female astronauts in a resupply mission to the International Space Station. Space station residents will test it out for a few months. At 45 kg and just 28 inches, it's roughly half as big as the two Russian-built toilets at the space station.",03 Oct,Ankush Verma
"Man steals SUV from service centre, car owner chases him for 40 kms","The owner of an SUV in Kerala chased the thief who stole his car from a service centre for 40 kilometres on Kozhikode-Mysuru highway. He rushed out of his home to recover the car after the police called him, asking him to pay a fine for overspeeding. The thief was nabbed with police help and a damaged car was recovered.",03 Oct,Ankush Verma
US military aircraft refuels at Indian base for 1st time under 2016 pact: Reports,"The US Navy's anti-submarine warfare and maritime surveillance aircraft P-8 Poseidon refuelled at an Indian base for the first time under a 2016 defence pact, reports said. The plane landed at India's strategic base in Andaman and Nicobar Islands for refuelling support towards the end of last month. In September, a US tanker refuelled an Indian ship under the pact.",03 Oct,Aarushi Maheshwari
"Media allowed to enter victim's village, says Hathras Sadar SDM","Hathras Sadar SDM Prem Prakash Meena on Saturday stated that media has been allowed to enter the village of the 19-year-old woman who succumbed to her injuries a few days ago. The SDM added, ""When orders come in to allow delegations, we will let everybody know. All allegations about phones of the family members being taken away... are absolutely baseless.""",03 Oct,Aarushi Maheshwari
